"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033176","IMBRO/A","2023-01-13T19:27:54+01:00","1997-07-15T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","7.06","1","goedgekeurd",,,,
"Temperatuur","1522","T","10.9","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","84.4","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","336.39","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1997-07-15","13.49","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1997-07-15","0.15","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1997-07-15","40.512","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1997-07-15","50.729","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1997-07-15","0.702","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1997-07-15","0.737","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1997-07-15","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1997-07-15","49.663","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1997-07-15","356.613","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1997-07-15","11.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1997-07-15","2.933","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1997-07-15","8.995","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1997-07-15","2.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1997-07-15","0.014","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1997-07-15","35.313","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1997-07-15","1.596","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1997-07-15","6.539","ug/l",,,,"goedgekeurd"
"boor","386","B","1997-07-15","103.776","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1997-07-15","121.41","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1997-07-15","0.743","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1997-07-15","0.045","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
