"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000063400","IMBRO/A","2025-04-11T10:58:09+02:00","2005-02-02T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.0","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"fosfaat","1334","PO4","2005-02-02","2.37","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2005-02-02","2.6","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2005-02-02","2710.0","mS/m",,,,"goedgekeurd"
"stikstof Kjeldahl","4064","NKj","2005-02-02","13.1","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2005-02-02","4.0","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2005-02-02","10.0","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2005-02-02","11.0","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2005-02-02","1.0","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2005-02-02","730.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2005-02-02","4500.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","2005-02-02","130.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2005-02-02","380.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2005-02-02","500.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","2005-02-02","10290.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2005-02-02","1100.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2005-02-02","10.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2005-02-02","9400.0","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2005-02-02","5.0","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2005-02-02","415.0","mg/l",,,,"onbeslist"
"nitraat","1270","NO3","2005-02-02","0.05","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2005-02-02","0.01","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2005-02-02","25.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2005-02-02","10.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2005-02-02","11.3","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2005-02-02","6.8","1",,,,"goedgekeurd"
,,,,,,,,,
