"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000037732","IMBRO/A","2023-01-16T14:36:21+01:00","1991-05-16T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1991-05-16","33.67","ug/l",,,,"goedgekeurd"
"arseen","310","As","1991-05-16","0.27","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1991-05-16","25.24","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1991-05-16","7.54","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1991-05-16","0.52","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1991-05-16","0.63","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1991-05-16","24.29","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1991-05-16","7.84","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1991-05-16","135.42","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-05-16","0.09","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1991-05-16","0.19","mg/l",,,"<","goedgekeurd"
"strontium","1501","Sr","1991-05-16","122.32","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1991-05-16","480.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1991-05-16","1.32","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1991-05-16","3.2","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1991-05-16","100.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1991-05-16","0.38","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1991-05-16","9.87","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1991-05-16","0.59","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","1991-05-16","2.07","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1991-05-16","6.54","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1991-05-16","35.24","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1991-05-16","1.17","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-05-16","0.03","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1991-05-16","0.11","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
