"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000055613","IMBRO/A","2025-04-10T18:26:18+02:00","1996-01-09T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","9.0","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ijzer","879","Fe","1996-01-09","3100.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1996-01-09","72.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1996-01-09","130.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1996-01-09","56.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1996-01-09","177.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1996-01-09","6.6","1",,,,"goedgekeurd"
"ammonium","289","NH4","1996-01-09","1.3","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-01-09","271.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1996-01-09","300.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1996-01-09","5.0","ug/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1996-01-09","165.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1996-01-09","650.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-01-09","2.0","mg/l",,,"<","goedgekeurd"
"aluminium","284","Al","1996-01-09","5.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1996-01-09","11.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","1996-01-09","5.0","ug/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","1996-01-09","5.0","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","1996-01-09","5.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1996-01-09","7.5","ug/l",,,"<","goedgekeurd"
"stikstof Kjeldahl","4064","NKj","1996-01-09","1.3","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1996-01-09","0.5","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1996-01-09","1.2","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1996-01-09","210.0","mS/m",,,,"goedgekeurd"
"fosfaat","1334","PO4","1996-01-09","0.78","mg/l",,,,"goedgekeurd"
,,,,,,,,,
