"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000055458","IMBRO/A","2025-04-10T18:12:07+02:00","2004-01-14T11:00:00+01:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","5.4","Cel","onbeslist",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitraat","1270","NO3","2004-01-14","0.05","mg/l",,,"<","goedgekeurd"
"zink","1693","Zn","2004-01-14","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2004-01-14","6.0","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2004-01-14","0.4","ug/l",,,"<","goedgekeurd"
"chroom","517","Cr","2004-01-14","2.5","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2004-01-14","2.5","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2004-01-14","5.0","ug/l",,,"<","goedgekeurd"
"stikstof Kjeldahl","4064","NKj","2004-01-14","1.1","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2004-01-14","5.0","ug/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","2004-01-14","630.0","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2004-01-14","5.0","ug/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2004-01-14","239.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2004-01-14","265.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2004-01-14","1.39","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2004-01-14","320.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2004-01-14","3330.0","ug/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2004-01-14","60.6","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2004-01-14","127.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","2004-01-14","46.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2004-01-14","218.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2004-01-14","7.1","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2004-01-14","1.3","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2004-01-14","206.0","mS/m",,,,"goedgekeurd"
"fosfaat","1334","PO4","2004-01-14","0.44","mg/l",,,,"goedgekeurd"
,,,,,,,,,
