"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012851","IMBRO/A","2023-01-09T10:32:58+01:00","1999-01-26T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","6.9","1","goedgekeurd",,,,
"Temperatuur","1522","T","10.2","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","227.0","mS/m","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"Zuurgraad","1398","pH","1999-01-26","7.2","1",,,,"goedgekeurd"
"magnesium","1125","Mg","1999-01-26","12.0","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1999-01-26","15.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1999-01-26","0.95","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1999-01-26","1.25","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1999-01-26","270.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1999-01-26","180.0","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1999-01-26","470.0","ug/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1999-01-26","610.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1999-01-26","500.0","mg/l",,,,"goedgekeurd"
"koper","971","Cu","1999-01-26","2.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1999-01-26","2.0","ug/l",,,"<","onbeslist"
"chroom","517","Cr","1999-01-26","2.4","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1999-01-26","3.2","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1999-01-26","4000.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1999-01-26","5.0","ug/l",,,"<","onbeslist"
"lood","1116","Pb","1999-01-26","5.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1999-01-26","5.0","ug/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","1999-01-26","0.04","mg/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1999-01-26","226.0","mS/m",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1999-01-26","0.24","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1999-01-26","0.4","ug/l",,,"<","goedgekeurd"
"mangaan","1128","Mn","1999-01-26","410.0","ug/l",,,,"onbeslist"
"aluminium","284","Al","1999-01-26","34.0","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1999-01-26","82.0","ug/l",,,,"goedgekeurd"
,,,,,,,,,
