"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000037489","IMBRO/A","2023-01-16T14:20:44+01:00","1983-01-25T12:00:00+01:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1983-01-25","270.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1983-01-25","163.84","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1983-01-25","7.29","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1983-01-25","420.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1983-01-25","0.28","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1983-01-25","78.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1983-01-25","2.6","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1983-01-25","16.8","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1983-01-25","2.6","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1983-01-25","130.0","mg/l",,,,"goedgekeurd"
"siliciumdioxide","4656","SiO2","1983-01-25","14.4","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1983-01-25","1.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1983-01-25","189.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1983-01-25","0.1","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
