"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033259","IMBRO/A","2023-01-13T19:31:56+01:00","1995-03-02T12:00:00+01:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","5.37","1","goedgekeurd",,,,
"Temperatuur","1522","T","10.2","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","36.3","mS/m","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1995-03-02","75.544","ug/l",,,,"goedgekeurd"
"arseen","310","As","1995-03-02","2.922","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1995-03-02","34.333","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1995-03-02","21.11","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1995-03-02","0.26","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1995-03-02","0.635","ug/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","1995-03-02","23.188","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1995-03-02","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1995-03-02","106.944","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1995-03-02","126.173","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1995-03-02","2619.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1995-03-02","1.564","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1995-03-02","4.862","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1995-03-02","146.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1995-03-02","0.07","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1995-03-02","12.851","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1995-03-02","1.232","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1995-03-02","13.078","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1995-03-02","45.984","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1995-03-02","0.074","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1995-03-02","0.045","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
