"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033460","IMBRO/A","2023-01-13T19:43:30+01:00","1996-04-12T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","77.4","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","314.43","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.5","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.13","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1996-04-12","13.49","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1996-04-12","0.225","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1996-04-12","39.414","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-04-12","62.002","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1996-04-12","0.702","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1996-04-12","0.89","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1996-04-12","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1996-04-12","46.781","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1996-04-12","335.585","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1996-04-12","11.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1996-04-12","3.128","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1996-04-12","8.363","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1996-04-12","4.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1996-04-12","0.042","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1996-04-12","36.646","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1996-04-12","1.203","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1996-04-12","6.539","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1996-04-12","116.873","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-04-12","0.588","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1996-04-12","0.056","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
