"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000004417","IMBRO/A","2022-12-02T19:45:06+01:00","1998-10-29T11:00:00+01:00","onbekend","5",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","129.0","mg/l","onbeslist",,,,
"Temperatuur","1522","T","13.0","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ijzer","879","Fe","1998-10-29","310.0","ug/l",,,,"onbeslist"
"natrium","1262","Na","1998-10-29","12.0","mg/l",,,,"onbeslist"
"magnesium","1125","Mg","1998-10-29","3.1","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1998-10-29","1.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1998-10-29","120.0","ug/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1998-10-29","0.006","mg/l",,,"<","goedgekeurd"
"fosfaat","1334","PO4","1998-10-29","0.15","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1998-10-29","0.04","mg/l",,,,"goedgekeurd"
"kalium","920","K","1998-10-29","1.1","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1998-10-29","5.0","mg/l",,,"<","goedgekeurd"
"calcium","447","Ca","1998-10-29","30.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1998-10-29","1.86","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1998-10-29","13.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1998-10-29","0.11","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
