"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000035887","IMBRO/A","2023-01-13T22:16:08+01:00","1981-04-14T13:00:00+02:00","onderwaterpomp","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1981-04-14","88.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1981-04-14","124.29","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1981-04-14","8.09","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1981-04-14","584.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1981-04-14","1.3","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1981-04-14","100.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1981-04-14","21.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1981-04-14","19.7","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1981-04-14","2.4","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1981-04-14","220.0","mg/l",,,,"goedgekeurd"
"siliciumdioxide","4656","SiO2","1981-04-14","7.6","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1981-04-14","37.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1981-04-14","32.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1981-04-14","0.1","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
