"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000062870","IMBRO/A","2025-04-11T10:11:42+02:00","2001-01-10T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","6.4","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"fosfor totaal","4188","Ptot","2001-01-10","0.05","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2001-01-10","0.08","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2001-01-10","74.0","mS/m",,,,"goedgekeurd"
"magnesium","1125","Mg","2001-01-10","12.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","2001-01-10","30.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2001-01-10","5.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","2001-01-10","0.13","mg/l",,,"<","goedgekeurd"
"chloride","508","Cl","2001-01-10","30.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2001-01-10","61.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2001-01-10","320.0","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2001-01-10","5.0","ug/l",,,"<","goedgekeurd"
"natrium","1262","Na","2001-01-10","56.0","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2001-01-10","0.4","ug/l",,,"<","goedgekeurd"
"chroom","517","Cr","2001-01-10","2.5","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2001-01-10","6.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2001-01-10","5.0","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2001-01-10","5.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2001-01-10","28.0","ug/l",,,,"goedgekeurd"
"stikstof Kjeldahl","4064","NKj","2001-01-10","1.9","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2001-01-10","103.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","2001-01-10","3.3","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2001-01-10","7.7","1",,,,"goedgekeurd"
"arseen","310","As","2001-01-10","2.5","ug/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","2001-01-10","24.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
