"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000027628","IMBRO/A","2023-01-13T09:55:41+01:00","2013-06-20T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","0.113333","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","61.3333","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","320.68","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.8","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.41","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2013-06-20","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2013-06-20","0.3","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2013-06-20","46.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2013-06-20","52.49","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2013-06-20","1.5","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2013-06-20","0.5","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2013-06-20","68.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2013-06-20","7.4","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2013-06-20","0.63","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2013-06-20","2.71","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2013-06-20","290.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2013-06-20","1270.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2013-06-20","15.3","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2013-06-20","26.39","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2013-06-20","181.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2013-06-20","2.431","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2013-06-20","35.6","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2013-06-20","0.5","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2013-06-20","0.2","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2013-06-20","4.0","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2013-06-20","54.48","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2013-06-20","17.1","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2013-06-20","0.07","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","2013-06-20","0.05","ug/l",,,"<","goedgekeurd"
"antimoon","301","Sb","2013-06-20","0.1","ug/l",,,"<","goedgekeurd"
"kobalt","527","Co","2013-06-20","0.11","ug/l",,,,"goedgekeurd"
"molybdeen","1243","Mo","2013-06-20","0.3","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
