"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034921","IMBRO/A","2023-01-13T21:16:41+01:00","2005-04-25T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","4.83","1","goedgekeurd",,,,
"zuurstof","1701","O2","3.5","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","11.1","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","0.2","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.3","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2005-04-25","737.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2005-04-25","0.08","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2005-04-25","59.9","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2005-04-25","10.6","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2005-04-25","0.49","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2005-04-25","0.4","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2005-04-25","11.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2005-04-25","4.7","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2005-04-25","0.003","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2005-04-25","24.8","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2005-04-25","39.3","ug/l",,,,"goedgekeurd"
"kobalt","527","Co","2005-04-25","0.83","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2005-04-25","600.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","2005-04-25","1.5","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2005-04-25","0.83","mg/l",,,"<","goedgekeurd"
"mangaan","1128","Mn","2005-04-25","27.4","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2005-04-25","0.24","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","2005-04-25","8.3","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2005-04-25","0.66","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2005-04-25","0.18","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2005-04-25","1.8","ug/l",,,,"goedgekeurd"
"vanadium","1642","V","2005-04-25","0.22","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2005-04-25","5.3","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2005-04-25","1.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2005-04-25","0.79","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2005-04-25","0.18","ug/l",,,,"goedgekeurd"
,,,,,,,,,
