"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000059280","IMBRO/A","2025-04-10T23:59:01+02:00","2001-11-12T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","12.2","Cel","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"kalium","920","K","2001-11-12","13.0","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2001-11-12","7.4","1",,,,"goedgekeurd"
"natrium","1262","Na","2001-11-12","82.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2001-11-12","160.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2001-11-12","12.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2001-11-12","23.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","2001-11-12","50.0","ug/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2001-11-12","5.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","2001-11-12","0.13","mg/l",,,"<","goedgekeurd"
"chloride","508","Cl","2001-11-12","30.0","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2001-11-12","680.0","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","2001-11-12","5.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2001-11-12","2.5","ug/l",,,"<","goedgekeurd"
"chroom","517","Cr","2001-11-12","2.5","ug/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","2001-11-12","5.0","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2001-11-12","5.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2001-11-12","62.0","ug/l",,,,"goedgekeurd"
"stikstof Kjeldahl","4064","NKj","2001-11-12","1.5","mg/l",,,,"goedgekeurd"
"koper","971","Cu","2001-11-12","2.5","ug/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2001-11-12","43.0","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2001-11-12","0.4","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2001-11-12","0.57","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2001-11-12","110.0","mS/m",,,,"goedgekeurd"
"fosfaat","1334","PO4","2001-11-12","0.01","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
