"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000004985","IMBRO/A","2022-12-02T21:00:15+01:00","1996-11-26T11:00:00+01:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Zuurgraad","1398","pH","6.8","1","goedgekeurd",,,,
"Temperatuur","1522","T","11.0","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","323.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","521.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ijzer","879","Fe","1996-11-26","18000.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1996-11-26","13.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1996-11-26","0.11","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1996-11-26","5.67","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1996-11-26","6.4","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1996-11-26","240.0","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-11-26","5.0","mg/l",,,"<","goedgekeurd"
"nitraat","1270","NO3","1996-11-26","0.11","mg/l",,,"<","goedgekeurd"
"chloride","508","Cl","1996-11-26","740.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1996-11-26","0.003","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1996-11-26","550.0","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1996-11-26","0.04","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1996-11-26","35.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
