"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034519","IMBRO/A","2023-01-13T20:49:51+01:00","1999-07-16T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","11.2","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","5.35","1","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","39.7","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","18.645","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1999-07-16","13.49","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1999-07-16","0.15","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1999-07-16","39.414","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1999-07-16","56.933","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1999-07-16","0.702","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1999-07-16","0.769","ug/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1999-07-16","0.062","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1999-07-16","48.991","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1999-07-16","63.086","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1999-07-16","11.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1999-07-16","13.568","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1999-07-16","3.574","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1999-07-16","356.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1999-07-16","0.014","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1999-07-16","45.911","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1999-07-16","27.267","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1999-07-16","6.539","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1999-07-16","12.858","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1999-07-16","4.175","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1999-07-16","0.427","ug/l",,,,"goedgekeurd"
,,,,,,,,,
