"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000037660","IMBRO/A","2023-01-16T14:31:18+01:00","1985-06-04T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1985-06-04","127.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1985-06-04","76.84","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1985-06-04","7.5","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1985-06-04","242.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1985-06-04","0.22","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1985-06-04","0.2","mg/l",,,"<","goedgekeurd"
"kalium","920","K","1985-06-04","4.04","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1985-06-04","4.46","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1985-06-04","0.41","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1985-06-04","131.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1985-06-04","24.8","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1985-06-04","2.7","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1985-06-04","0.3","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
