"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000061227","IMBRO/A","2025-04-11T03:01:27+02:00","1988-02-28T11:00:00+01:00","onbekend","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"ammonium","289","NH4","1988-02-28","0.26","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1988-02-28","49.0","mg/l",,,,"goedgekeurd"
"aluminium","284","Al","1988-02-28","100.0","ug/l",,,"<","goedgekeurd"
"fluoride","1853","F","1988-02-28","0.0044","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1988-02-28","0.02","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1988-02-28","291.0","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1988-02-28","36.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1988-02-28","25.0","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1988-02-28","950.0","ug/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1988-02-28","1.2","mg/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1988-02-28","7.22","1",,,,"goedgekeurd"
"kalium","920","K","1988-02-28","4.4","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1988-02-28","57.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1988-02-28","56.3","mS/m",,,,"goedgekeurd"
"magnesium","1125","Mg","1988-02-28","12.0","mg/l",,,,"goedgekeurd"
"ijzer","879","Fe","1988-02-28","50.0","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
