"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033921","IMBRO/A","2023-01-13T20:12:51+01:00","2008-05-21T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","12.0","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.81","1","goedgekeurd",,,,
"zuurstof","1701","O2","0.04","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","69.1","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","457.22","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2008-05-21","9.93","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2008-05-21","1.5","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","2008-05-21","2.14","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2008-05-21","40.08","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2008-05-21","0.9","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2008-05-21","1.56","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2008-05-21","94.1","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2008-05-21","7.71","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2008-05-21","448.7","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2008-05-21","0.28","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2008-05-21","101.18","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2008-05-21","600.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2008-05-21","200.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2008-05-21","52.71","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2008-05-21","61.54","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2008-05-21","40.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2008-05-21","0.801","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2008-05-21","28.94","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2008-05-21","1.23","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2008-05-21","0.07","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2008-05-21","1.09","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2008-05-21","65.35","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2008-05-21","4.2","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2008-05-21","0.014","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","2008-05-21","0.017","ug/l",,,,"goedgekeurd"
,,,,,,,,,
