"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000012462","IMBRO/A","2023-01-09T10:14:09+01:00","2009-06-22T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Temperatuur","1522","T","10.3","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","4.49","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"nitraat","1270","NO3","2009-06-22","2.0","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2009-06-22","9.6","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","2009-06-22","16.0","mg/l",,,,"goedgekeurd"
"zink","1693","Zn","2009-06-22","14.0","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2009-06-22","1.0","ug/l",,,,"goedgekeurd"
"chroom","517","Cr","2009-06-22","1.1","ug/l",,,,"goedgekeurd"
"kalium","920","K","2009-06-22","1.3","mg/l",,,,"goedgekeurd"
"lood","1116","Pb","2009-06-22","1.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2009-06-22","17.6","mS/m",,,,"goedgekeurd"
"magnesium","1125","Mg","2009-06-22","2.9","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","2009-06-22","3.5","mg/l",,,,"goedgekeurd"
"arseen","310","As","2009-06-22","3.0","ug/l",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2009-06-22","4.4","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2009-06-22","6.0","mg/l",,,"<","goedgekeurd"
"silicium","1479","Si","2009-06-22","2.77","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2009-06-22","0.06","mg/l",,,"<","goedgekeurd"
"fosfaat","1334","PO4","2009-06-22","0.04","mg/l",,,"<","goedgekeurd"
"zuurstof","1701","O2","2009-06-22","0.19","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2009-06-22","39.0","ug/l",,,,"goedgekeurd"
"cadmium","441","Cd","2009-06-22","0.2","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2009-06-22","17.0","ug/l",,,,"goedgekeurd"
"strontium","1501","Sr","2009-06-22","30.0","ug/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2009-06-22","38.0","mg/l",,,,"goedgekeurd"
"barium","333","Ba","2009-06-22","37.0","ug/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2009-06-22","23.0","ug/l",,,,"goedgekeurd"
,,,,,,,,,
