"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000036379","IMBRO/A","2023-01-16T13:10:39+01:00","2015-09-09T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","442.56","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.2","Cel","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","68.0","mS/m","goedgekeurd",,,,
"zuurstof","1701","O2","0.62","mg/l","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.11","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2015-09-09","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2015-09-09","0.2","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","2015-09-09","113.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2015-09-09","44.66","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2015-09-09","0.5","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2015-09-09","0.5","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2015-09-09","86.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2015-09-09","7.16","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2015-09-09","1.1","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2015-09-09","36.95","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2015-09-09","506.0","ug/l",,,,"goedgekeurd"
"antimoon","301","Sb","2015-09-09","0.1","ug/l",,,"<","goedgekeurd"
"kobalt","527","Co","2015-09-09","0.1","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","2015-09-09","3450.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2015-09-09","0.5","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2015-09-09","14.48","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2015-09-09","916.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2015-09-09","1.073","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2015-09-09","23.3","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2015-09-09","0.5","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2015-09-09","0.2","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2015-09-09","4.0","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2015-09-09","138.6","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2015-09-09","3.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2015-09-09","0.07","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","2015-09-09","0.05","ug/l",,,"<","goedgekeurd"
"molybdeen","1243","Mo","2015-09-09","0.3","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
