"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033804","IMBRO/A","2023-01-13T20:05:12+01:00","1996-02-29T12:00:00+01:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","329.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","534.98","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.7","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.79","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1996-02-29","29.678","ug/l",,,,"goedgekeurd"
"arseen","310","As","1996-02-29","0.15","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1996-02-29","64.82","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1996-02-29","792.662","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1996-02-29","0.702","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1996-02-29","0.699","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","1996-02-29","1.118","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1996-02-29","0.384","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1996-02-29","1148.698","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1996-02-29","3195.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1996-02-29","33.861","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1996-02-29","86.252","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1996-02-29","657.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1996-02-29","11.222","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1996-02-29","281.421","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1996-02-29","0.698","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1996-02-29","6.539","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1996-02-29","213.642","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1996-02-29","0.098","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1996-02-29","0.056","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
