"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000035897","IMBRO/A","2023-01-13T22:16:38+01:00","1981-04-14T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1981-04-14","14300.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1981-04-14","3841.81","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1981-04-14","6.9","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1981-04-14","662.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1981-04-14","0.02","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1981-04-14","2400.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1981-04-14","220.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1981-04-14","1200.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1981-04-14","6.8","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1981-04-14","7100.0","mg/l",,,,"goedgekeurd"
"siliciumdioxide","4656","SiO2","1981-04-14","8.2","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1981-04-14","10.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1981-04-14","750.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1981-04-14","0.1","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
