"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000034415","IMBRO/A","2023-01-13T20:43:05+01:00","1982-08-24T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"antimoon","301","Sb","1982-08-24","0.009","ug/l",,,"<","goedgekeurd"
"kobalt","527","Co","1982-08-24","0.73","ug/l",,,,"goedgekeurd"
"zilver","1692","Ag","1982-08-24","0.21","ug/l",,,,"goedgekeurd"
"vanadium","1642","V","1982-08-24","0.24","ug/l",,,,"goedgekeurd"
"bromide","391","Br","1982-08-24","2.1","mg/l",,,,"goedgekeurd"
,,,,,,,,,
