"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000000687","IMBRO/A","2022-11-25T11:07:38+01:00","2018-05-24T12:00:00+02:00","onbekend","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","88.1","mS/m","onbeslist",,,,
"Temperatuur","1522","T","11.6","Cel","onbeslist",,,,
"Zuurgraad","1398","pH","7.81","1","onbeslist",,,,
"zuurstof","1701","O2","0.01","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"cadmium","441","Cd","2018-05-24","0.1","ug/l",,,"<","goedgekeurd"
"kobalt","527","Co","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"kwik","1097","Hg","2018-05-24","0.03","ug/l",,,"<","goedgekeurd"
"lithium","1115","Li","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2018-05-24","1.0","ug/l",,,"<","goedgekeurd"
"molybdeen","1243","Mo","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"nikkel","1267","Ni","2018-05-24","1.0","ug/l",,,"<","onbeslist"
"chroom","517","Cr","2018-05-24","0.5","ug/l",,,"<","goedgekeurd"
"seleen","1476","Se","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2018-05-24","2.1","ug/l",,,,"onbeslist"
"tellurium","1520","Te","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"thallium","1553","Tl","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"thorium","1563","Th","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"tin","1564","Sn","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"titaan","1565","Ti","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"uranium","1637","U","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"vanadium","1642","V","2018-05-24","2.0","ug/l",,,"<","goedgekeurd"
"wolfraam","1685","W","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2018-05-24","5.0","ug/l",,,"<","onbeslist"
"rubidium","1987","Rb","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"bromide","391","Br","2018-05-24","0.12","mg/l",,,,"goedgekeurd"
"zirkonium","1695","Zr","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"zilver","1692","Ag","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2018-05-24","99.0","mg/l",,,,"goedgekeurd"
"boor","386","B","2018-05-24","31.0","ug/l",,,,"goedgekeurd"
"strontium","1501","Sr","2018-05-24","330.0","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2018-05-24","66.3","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2018-05-24","7.2","1",,,,"goedgekeurd"
"Temperatuur","1522","T","2018-05-24","15.7","Cel",,,,"onbeslist"
"kalium","920","K","2018-05-24","13.0","mg/l",,,,"onbeslist"
"magnesium","1125","Mg","2018-05-24","17.0","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","2018-05-24","0.05","mg/l",,,"<","goedgekeurd"
"aluminium","284","Al","2018-05-24","10.0","ug/l",,,"<","goedgekeurd"
"ijzer","879","Fe","2018-05-24","10.0","ug/l",,,"<","goedgekeurd"
"mangaan","1128","Mn","2018-05-24","9.3","ug/l",,,,"goedgekeurd"
"fluoride","1853","F","2018-05-24","0.03","mg/l",,,,"goedgekeurd"
"barium","333","Ba","2018-05-24","62.0","ug/l",,,,"goedgekeurd"
"natrium","1262","Na","2018-05-24","19.0","mg/l",,,,"goedgekeurd"
"beryllium","362","Be","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"chloride","508","Cl","2018-05-24","24.0","mg/l",,,,"goedgekeurd"
"arseen","310","As","2018-05-24","1.0","ug/l",,,"<","goedgekeurd"
"antimoon","301","Sb","2018-05-24","50.0","ug/l",,,"<","goedgekeurd"
"fosfor totaal","4188","Ptot","2018-05-24","0.15","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","2018-05-24","0.16","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2018-05-24","34.0","mg/l",,,,"onbeslist"
"nitraat","1270","NO3","2018-05-24","21.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","2018-05-24","0.38","mg/l",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2018-05-24","260.0","mg/l",,,,"onbeslist"
"koolstof organisch","1318","Corg","2018-05-24","15.0","mg/l",,,,"goedgekeurd"
,,,,,,,,,
