"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033264","IMBRO/A","2023-01-13T19:32:23+01:00","1983-06-22T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"chloride","508","Cl","1983-06-22","45.0","mg/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","1983-06-22","42.94","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1983-06-22","6.02","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1983-06-22","18.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1983-06-22","0.01","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1983-06-22","88.0","mg/l",,,,"goedgekeurd"
"kalium","920","K","1983-06-22","1.4","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1983-06-22","11.8","mg/l",,,,"goedgekeurd"
"ammonium","289","NH4","1983-06-22","0.03","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1983-06-22","19.0","mg/l",,,,"goedgekeurd"
"siliciumdioxide","4656","SiO2","1983-06-22","4.6","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1983-06-22","6.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1983-06-22","44.0","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1983-06-22","6.8","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1983-06-22","0.01","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
