"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000004336","IMBRO/A","2022-12-02T19:42:15+01:00","1991-07-30T12:00:00+02:00","onbekend","2",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"waterstofcarbonaat","374","HCO3","212.0","mg/l","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"magnesium","1125","Mg","1991-07-30","5.3","mg/l",,,,"goedgekeurd"
"kalium","920","K","1991-07-30","3.6","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-07-30","0.0045","mg/l",,,"<","onbeslist"
"ijzer","879","Fe","1991-07-30","1200.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1991-07-30","0.31","mg/l",,,,"goedgekeurd"
"chloride","508","Cl","1991-07-30","15.0","mg/l",,,,"goedgekeurd"
"calcium","447","Ca","1991-07-30","40.0","mg/l",,,,"goedgekeurd"
"nitriet","1273","NO2","1991-07-30","0.006","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1991-07-30","29.5","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1991-07-30","1.5","mg/l",,,,"goedgekeurd"
"fosfaat","1334","PO4","1991-07-30","0.03","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-07-30","0.04","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1991-07-30","3.0","mg/l",,,"<","goedgekeurd"
,,,,,,,,,
