"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000027886","IMBRO/A","2023-01-13T10:11:49+01:00","2014-04-29T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","0.0","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","218.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","545.49","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.6","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.96","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2014-04-29","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2014-04-29","0.9","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2014-04-29","279.0","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2014-04-29","451.41","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2014-04-29","0.5","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","2014-04-29","0.5","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2014-04-29","217.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2014-04-29","7.1","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2014-04-29","0.24","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2014-04-29","0.48","mg/l",,,"<","goedgekeurd"
"strontium","1501","Sr","2014-04-29","831.0","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2014-04-29","19130.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2014-04-29","3.0","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2014-04-29","15.73","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2014-04-29","590.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2014-04-29","2.714","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","2014-04-29","161.2","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2014-04-29","0.5","ug/l",,,"<","goedgekeurd"
"lood","1116","Pb","2014-04-29","0.2","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2014-04-29","46.0","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2014-04-29","238.11","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2014-04-29","9.6","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2014-04-29","0.07","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","2014-04-29","0.05","ug/l",,,"<","goedgekeurd"
"antimoon","301","Sb","2014-04-29","0.1","ug/l",,,"<","goedgekeurd"
"kobalt","527","Co","2014-04-29","0.16","ug/l",,,,"goedgekeurd"
"molybdeen","1243","Mo","2014-04-29","0.3","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
