"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000038130","IMBRO/A","2023-01-16T15:02:07+01:00","2018-06-12T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","1.0","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","58.0","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","287.955","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","11.9","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.95","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2018-06-12","10.0","ug/l",,,"<","goedgekeurd"
"arseen","310","As","2018-06-12","0.915","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2018-06-12","23.37","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2018-06-12","10.429","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2018-06-12","0.914","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2018-06-12","0.5","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2018-06-12","59.0","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2018-06-12","7.42","1",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2018-06-12","0.05","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2018-06-12","59.106","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2018-06-12","191.6","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2018-06-12","172.4","ug/l",,,,"goedgekeurd"
"kalium","920","K","2018-06-12","2.79","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2018-06-12","13.51","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2018-06-12","51.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2018-06-12","0.05","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","2018-06-12","5.989","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2018-06-12","3.345","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2018-06-12","0.2","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2018-06-12","4.0","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","2018-06-12","99.43","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2018-06-12","22.42","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2018-06-12","0.783","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2018-06-12","0.05","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
