"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000035119","IMBRO/A","2023-01-13T21:30:37+01:00","2009-06-16T13:00:00+02:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","2.0","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","14.4","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","5.14","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","10.9","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","5.2","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2009-06-16","239.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2009-06-16","0.3","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","2009-06-16","163.3","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2009-06-16","9.66","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2009-06-16","2.51","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2009-06-16","1.1","ug/l",,,,"goedgekeurd"
"Geleidendheid","3548","GELDHD","2009-06-16","12.1","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2009-06-16","5.55","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2009-06-16","6.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2009-06-16","0.08","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","2009-06-16","22.86","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2009-06-16","78.6","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2009-06-16","20.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","2009-06-16","1.7","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2009-06-16","3.35","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2009-06-16","100.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2009-06-16","0.241","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","2009-06-16","7.1","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2009-06-16","15.97","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2009-06-16","0.71","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","2009-06-16","69.4","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2009-06-16","6.78","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2009-06-16","1.6","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2009-06-16","2.129","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","2009-06-16","0.48","ug/l",,,,"goedgekeurd"
,,,,,,,,,
