"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000035090","IMBRO/A","2023-01-13T21:28:44+01:00","1991-06-27T13:00:00+02:00","onderwaterpomp","3",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1991-06-27","18.83","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1991-06-27","0.07","ug/l",,,"<","goedgekeurd"
"barium","333","Ba","1991-06-27","50.6","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1991-06-27","22.2","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1991-06-27","1.14","ug/l",,,,"goedgekeurd"
"koper","971","Cu","1991-06-27","0.63","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","1991-06-27","20.45","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","1991-06-27","5.74","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","1991-06-27","4.88","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1991-06-27","0.06","mg/l",,,"<","goedgekeurd"
"sulfaat","1508","SO4","1991-06-27","18.62","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1991-06-27","114.24","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1991-06-27","10.0","ug/l",,,"<","goedgekeurd"
"kalium","920","K","1991-06-27","1.74","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1991-06-27","6.23","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1991-06-27","10.0","ug/l",,,"<","goedgekeurd"
"ammonium","289","NH4","1991-06-27","0.01","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","1991-06-27","17.04","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1991-06-27","6.1","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","1991-06-27","2.07","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","1991-06-27","11.88","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","1991-06-27","8.44","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","1991-06-27","0.37","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1991-06-27","6.69","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1991-06-27","0.37","ug/l",,,,"goedgekeurd"
,,,,,,,,,
