"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033764","IMBRO/A","2023-01-13T20:02:11+01:00","1995-01-24T12:00:00+01:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"Geleidendheid","3548","GELDHD","53.5","mS/m","goedgekeurd",,,,
"Temperatuur","1522","T","11.3","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","7.59","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","1995-01-24","13.49","ug/l",,,"<","goedgekeurd"
"arseen","310","As","1995-01-24","34.688","ug/l",,,,"goedgekeurd"
"barium","333","Ba","1995-01-24","4.12","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","1995-01-24","27.013","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","1995-01-24","0.26","ug/l",,,"<","goedgekeurd"
"koper","971","Cu","1995-01-24","0.635","ug/l",,,"<","goedgekeurd"
"waterstofcarbonaat","374","HCO3","1995-01-24","208.688","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","1995-01-24","0.093","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","1995-01-24","63.092","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","1995-01-24","316.308","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","1995-01-24","1904.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","1995-01-24","1.603","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","1995-01-24","3.792","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","1995-01-24","201.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","1995-01-24","0.35","mg/l",,,,"goedgekeurd"
"natrium","1262","Na","1995-01-24","15.909","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","1995-01-24","1.115","ug/l",,,,"goedgekeurd"
"zink","1693","Zn","1995-01-24","6.539","ug/l",,,"<","goedgekeurd"
"calcium","447","Ca","1995-01-24","94.116","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","1995-01-24","0.029","mg/l",,,,"goedgekeurd"
"cadmium","441","Cd","1995-01-24","0.045","ug/l",,,"<","goedgekeurd"
,,,,,,,,,
