"BRO-ID","kwaliteitsregime","in registratie sinds","tijdstip veldonderzoek","pomptype","buis",,,,
"GAR000000033799","IMBRO/A","2023-01-13T20:04:27+01:00","2009-03-23T12:00:00+01:00","onderwaterpomp","1",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysemeetwaarde","eenheid meetwaarde","status kwaliteitscontrole",,,,
"zuurstof","1701","O2","0.01","mg/l","goedgekeurd",,,,
"Geleidendheid","3548","GELDHD","41.9","mS/m","goedgekeurd",,,,
"waterstofcarbonaat","374","HCO3","211.97","mg/l","goedgekeurd",,,,
"Temperatuur","1522","T","12.0","Cel","goedgekeurd",,,,
"Zuurgraad","1398","pH","6.28","1","goedgekeurd",,,,
,,,,,,,,,
"parameter","sikb-id","aquo-code","analysedatum","analysemeetwaarde","eenheid meerwaarde","rapportagegrens","eenheid rapportagegres","limietsymbool","status kwaliteitscontrole"
"aluminium","284","Al","2009-03-23","2.0","ug/l",,,,"goedgekeurd"
"arseen","310","As","2009-03-23","27.1","ug/l",,,,"goedgekeurd"
"barium","333","Ba","2009-03-23","3.9","ug/l",,,,"goedgekeurd"
"chloride","508","Cl","2009-03-23","23.32","mg/l",,,,"goedgekeurd"
"chroom","517","Cr","2009-03-23","0.14","ug/l",,,,"goedgekeurd"
"koper","971","Cu","2009-03-23","0.8","ug/l",,,"<","goedgekeurd"
"Geleidendheid","3548","GELDHD","2009-03-23","42.1","mS/m",,,,"goedgekeurd"
"Zuurgraad","1398","pH","2009-03-23","7.5","1",,,,"goedgekeurd"
"waterstofcarbonaat","374","HCO3","2009-03-23","204.0","mg/l",,,,"goedgekeurd"
"fosfor totaal","4188","Ptot","2009-03-23","0.09","mg/l",,,,"goedgekeurd"
"sulfaat","1508","SO4","2009-03-23","19.64","mg/l",,,,"goedgekeurd"
"strontium","1501","Sr","2009-03-23","273.7","ug/l",,,,"goedgekeurd"
"ijzer","879","Fe","2009-03-23","690.0","ug/l",,,,"goedgekeurd"
"kalium","920","K","2009-03-23","2.6","mg/l",,,,"goedgekeurd"
"magnesium","1125","Mg","2009-03-23","4.52","mg/l",,,,"goedgekeurd"
"mangaan","1128","Mn","2009-03-23","177.0","ug/l",,,,"goedgekeurd"
"ammonium","289","NH4","2009-03-23","0.241","mg/l",,,"<","goedgekeurd"
"natrium","1262","Na","2009-03-23","13.9","mg/l",,,,"goedgekeurd"
"nikkel","1267","Ni","2009-03-23","1.62","ug/l",,,,"goedgekeurd"
"lood","1116","Pb","2009-03-23","0.1","ug/l",,,"<","goedgekeurd"
"zink","1693","Zn","2009-03-23","0.7","ug/l",,,,"goedgekeurd"
"calcium","447","Ca","2009-03-23","76.17","mg/l",,,,"goedgekeurd"
"koolstof organisch","1318","Corg","2009-03-23","8.5","mg/l",,,,"goedgekeurd"
"nitraat","1270","NO3","2009-03-23","0.014","mg/l",,,"<","goedgekeurd"
"cadmium","441","Cd","2009-03-23","0.01","ug/l",,,,"goedgekeurd"
,,,,,,,,,
